Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
34212770,09/01/2016 12:03:35 AM,09/01/2016 03:46:28 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11249,149 NORTH 6 STREET,NORTH 6 STREET,BERRY STREET,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/01/2016 08:03:35 AM,The Police Department responded to the complaint and took action to fix the condition.,09/01/2016 03:46:28 AM,01 BROOKLYN,BROOKLYN,995738,200662,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.717440110199995,-73.95855823667199,"(40.717440110199995, -73.95855823667199)"
34214130,09/01/2016 12:03:52 AM,09/01/2016 02:41:40 AM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10003,81 1 AVENUE,1 AVENUE,EAST 4 STREET,EAST 5 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/01/2016 08:03:52 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,09/01/2016 02:41:40 AM,03 MANHATTAN,MANHATTAN,987942,203667,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72569479789409,-73.98667984531457,"(40.72569479789409, -73.98667984531457)"
34217841,09/01/2016 12:05:17 AM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10031,531 WEST 143 STREET,WEST 143 STREET,HAMILTON PLACE,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Assigned,10/17/2016 08:32:42 AM,The Taxi and Limousine Commission will contact you within 14 days to confirm your complaint details. Please note your Service Request number for future reference.,09/02/2016 08:33:01 AM,09 MANHATTAN,MANHATTAN,998155,239652,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,Other,,,,,,,,40.82445399167001,-73.94975849134453,"(40.82445399167001, -73.94975849134453)"
34212954,09/01/2016 12:05:31 AM,09/01/2016 03:22:57 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11367,,,,,148 PLACE,61 ROAD,INTERSECTION,FLUSHING,,Precinct,Closed,09/01/2016 08:05:31 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,09/01/2016 03:22:57 AM,08 QUEENS,QUEENS,1033787,208970,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.740112265819256,-73.82123950679446,"(40.740112265819256, -73.82123950679446)"
34216160,09/01/2016 12:05:54 AM,09/01/2016 02:59:15 AM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10003,BOWERY,BOWERY,,,,,LATLONG,NEW YORK,,Precinct,Closed,09/01/2016 08:05:54 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2016 02:59:15 AM,03 MANHATTAN,MANHATTAN,986426,203499,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72523418153373,-73.99214938889838,"(40.72523418153373, -73.99214938889838)"
34216500,09/01/2016 12:06:14 AM,09/01/2016 03:49:38 AM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11421,89-19 90 STREET,90 STREET,89 AVENUE,91 AVENUE,,,ADDRESS,WOODHAVEN,,Precinct,Closed,09/01/2016 08:06:14 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,09/01/2016 03:49:38 AM,09 QUEENS,QUEENS,1024827,190774,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.690214316362415,-73.85368240559568,"(40.690214316362415, -73.85368240559568)"
34221835,09/01/2016 12:06:43 AM,,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10453,1841 DR M L KING JR BOULEVARD,DR M L KING JR BOULEVARD,,,,,ADDRESS,BRONX,,N/A,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09/01/2016 12:00:00 AM,05 BRONX,BRONX,1007941,249537,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.851564608300045,-73.91436484385679,"(40.851564608300045, -73.91436484385679)"
34211702,09/01/2016 12:06:56 AM,09/01/2016 04:59:06 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11221,194 STUYVESANT AVENUE,STUYVESANT AVENUE,QUINCY STREET,GATES AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/01/2016 08:06:56 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2016 04:59:06 AM,03 BROOKLYN,BROOKLYN,1002780,190153,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68858343380662,-73.93318387971877,"(40.68858343380662, -73.93318387971877)"
34219447,09/01/2016 12:07:00 AM,09/01/2016 12:08:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,10023,325 WEST END AVENUE,WEST END AVENUE,,,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,09/01/2016 12:08:00 AM,07 MANHATTAN,MANHATTAN,988996,224194,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.78203569609998,-73.98286269079273,"(40.78203569609998, -73.98286269079273)"
34217113,09/01/2016 12:07:09 AM,09/01/2016 01:13:48 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11204,5400 21 AVENUE,21 AVENUE,53 STREET,WASHINGTON CEMETERY BOUNDARY,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/01/2016 08:07:09 AM,The Police Department issued a summons in response to the complaint.,09/01/2016 01:13:48 AM,12 BROOKLYN,BROOKLYN,990555,165641,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.621320511236384,-73.97728812364555,"(40.621320511236384, -73.97728812364555)"
34214548,09/01/2016 12:07:25 AM,,DOT,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,11367,,,,,MAIN STREET,68 DRIVE,INTERSECTION,FLUSHING,,N/A,Open,11/30/2016 12:07:25 AM,The Department of Transportation requires 90 days to respond to this type of complaint.  Please note your Service Request number for future reference.,,08 QUEENS,QUEENS,1032885,206014,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7320037982969,-73.82451584786384,"(40.7320037982969, -73.82451584786384)"
34221511,09/01/2016 12:08:00 AM,09/01/2016 12:00:00 PM,DSNY,A - Queens,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11416,95-24 89 STREET,89 STREET,95 AVENUE,97 AVENUE,,,ADDRESS,Ozone Park,,N/A,Closed,,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,09/01/2016 12:00:00 PM,09 QUEENS,QUEENS,1025173,189045,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.68546702174521,-73.85244526015111,"(40.68546702174521, -73.85244526015111)"
34217276,09/01/2016 12:08:16 AM,,ACS,ACS,Forms,Community Outreach,,,,,,,,,,,,,Email Sent,09/15/2016 12:09:13 AM,,,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,1-1-1299426410,,,,,,
34217959,09/01/2016 12:08:39 AM,09/01/2016 04:05:02 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11225,916 CARROLL STREET,CARROLL STREET,WASHINGTON AVENUE,PEDESTRIAN OVERPASS,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/01/2016 08:08:39 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/01/2016 04:05:02 AM,09 BROOKLYN,BROOKLYN,995025,182824,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.668479828005744,-73.96115884217696,"(40.668479828005744, -73.96115884217696)"
34210942,09/01/2016 12:08:43 AM,09/01/2016 01:36:15 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11372,35-43 84 STREET,84 STREET,35 AVENUE,37 AVENUE,,,ADDRESS,JACKSON HEIGHTS,,Precinct,Closed,09/01/2016 08:08:43 AM,The Police Department responded to the complaint and took action to fix the condition.,09/01/2016 01:36:15 AM,03 QUEENS,QUEENS,1016737,213135,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.751623202335196,-73.88274636451436,"(40.751623202335196, -73.88274636451436)"
34213767,09/01/2016 12:08:44 AM,09/02/2016 05:29:11 PM,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,11367,141-26 68 DRIVE,68 DRIVE,141 STREET,MAIN STREET,,,ADDRESS,FLUSHING,,N/A,Closed,09/11/2016 12:08:44 AM,"The  Department of Transportation inspected the condition you reported and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If after that time the condition still exists, the Agency may issue the responsible party a summons and/or correct the condition.",09/02/2016 05:29:11 PM,08 QUEENS,QUEENS,1032646,205925,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.731760826548225,-73.82537884231014,"(40.731760826548225, -73.82537884231014)"
34214112,09/01/2016 12:09:01 AM,09/01/2016 01:31:12 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11355,59-40 157 STREET,157 STREET,59 AVENUE,LONG ISLAND EXPRESSWAY,,,ADDRESS,FLUSHING,,Precinct,Closed,09/01/2016 08:09:01 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,09/01/2016 01:31:12 AM,07 QUEENS,QUEENS,1036542,208762,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73952549828759,-73.81129938974755,"(40.73952549828759, -73.81129938974755)"
34212140,09/01/2016 12:09:18 AM,,ACS,ACS,Forms,Community Outreach,,,,,,,,,,,,,Email Sent,09/15/2016 12:10:16 AM,,,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,1-1-1299426404,,,,,,
34216046,09/01/2016 12:10:25 AM,09/01/2016 01:31:08 AM,NYPD,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,11106,34-50 24 STREET,24 STREET,34 AVENUE,35 AVENUE,,,ADDRESS,ASTORIA,,Precinct,Closed,09/01/2016 08:10:25 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,09/01/2016 01:31:08 AM,01 QUEENS,QUEENS,1003028,216533,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76098958340112,-73.93221602635003,"(40.76098958340112, -73.93221602635003)"
34214014,09/01/2016 12:10:37 AM,09/01/2016 02:01:11 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11377,,,,,58 STREET,31 AVENUE,INTERSECTION,WOODSIDE,,Precinct,Closed,09/01/2016 08:10:37 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2016 02:01:11 AM,01 QUEENS,QUEENS,1010935,215224,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75737638603846,-73.9036789113306,"(40.75737638603846, -73.9036789113306)"
34216956,09/01/2016 12:10:42 AM,09/01/2016 08:06:35 PM,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,11229,3040 AVENUE W,AVENUE W,BATCHELDER STREET,BRAGG STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/01/2016 08:10:42 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2016 08:06:35 PM,15 BROOKLYN,BROOKLYN,1001875,156569,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.596404450232136,-73.93653489611431,"(40.596404450232136, -73.93653489611431)"
34226414,09/01/2016 12:11:00 AM,09/01/2016 04:05:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,10040,97 ELLWOOD STREET,ELLWOOD STREET,W 196 ST,BEND,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",09/01/2016 04:05:00 AM,12 MANHATTAN,MANHATTAN,1003827,253156,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.861507758243285,-73.92922502137085,"(40.861507758243285, -73.92922502137085)"
34224524,09/01/2016 12:11:00 AM,09/01/2016 12:00:00 PM,DSNY,A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10065,,,,,EAST 61 STREET,1 AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,09/01/2016 12:00:00 PM,08 MANHATTAN,MANHATTAN,995035,216480,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.76085747543163,-73.96106887544212,"(40.76085747543163, -73.96106887544212)"
34217709,09/01/2016 12:11:24 AM,09/02/2016 04:54:51 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10466,4069 BARNES AVENUE,BARNES AVENUE,EAST 228 STREET,EAST 229 STREET,,,ADDRESS,BRONX,,Precinct,Closed,09/01/2016 08:11:24 AM,The Police Department reviewed your complaint and provided additional information below.,09/02/2016 04:54:51 PM,12 BRONX,BRONX,1023994,263312,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.8893150523013,-73.85625691673303,"(40.8893150523013, -73.85625691673303)"
34218143,09/01/2016 12:11:41 AM,09/01/2016 02:11:56 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11355,142-12 41 AVENUE,41 AVENUE,UNION STREET,BOWNE STREET,,,ADDRESS,FLUSHING,,Precinct,Closed,09/01/2016 08:11:41 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2016 02:11:56 AM,07 QUEENS,QUEENS,1032597,216015,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.759455560769595,-73.8254831111012,"(40.759455560769595, -73.8254831111012)"
34222231,09/01/2016 12:13:00 AM,09/01/2016 12:00:00 PM,DSNY,Brooklyn South 10,Derelict Vehicles,14 Derelict Vehicles,Street,11209,9321 RIDGE BOULEVARD,RIDGE BOULEVARD,93 STREET,94 STREET,,,ADDRESS,BROOKLYN,,N/A,Pending,,The Department of Sanitation removed the items.,09/01/2016 12:13:00 AM,10 BROOKLYN,BROOKLYN,974316,164824,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.619074690688336,-74.03578305984678,"(40.619074690688336, -74.03578305984678)"
34217303,09/01/2016 12:13:16 AM,09/01/2016 02:56:50 AM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10003,BOWERY,BOWERY,,,,,LATLONG,NEW YORK,,Precinct,Closed,09/01/2016 08:13:16 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2016 02:56:50 AM,03 MANHATTAN,MANHATTAN,986426,203499,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72523418153373,-73.99214938889838,"(40.72523418153373, -73.99214938889838)"
34213421,09/01/2016 12:13:22 AM,09/01/2016 04:19:55 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11238,135 EASTERN PARKWAY,EASTERN PARKWAY,UNDERHILL AVENUE,BEND,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/01/2016 08:13:22 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2016 04:19:55 AM,08 BROOKLYN,BROOKLYN,994156,184165,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67216158783738,-73.96428939702098,"(40.67216158783738, -73.96428939702098)"
34215972,09/01/2016 12:13:30 AM,09/01/2016 05:56:13 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11411,118-28 219 STREET,219 STREET,118 AVENUE,119 AVENUE,,,ADDRESS,CAMBRIA HEIGHTS,,Precinct,Closed,09/01/2016 08:13:30 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,09/01/2016 05:56:13 AM,13 QUEENS,QUEENS,1055754,191946,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.693235345638115,-73.74215004653367,"(40.693235345638115, -73.74215004653367)"
34222268,09/01/2016 12:14:00 AM,,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10001,401 WEST   31 STREET,WEST   31 STREET,9 AVE,LINCOLN TUNNEL APPROACH,,,ADDRESS,NEW YORK,,N/A,Open,,,,04 MANHATTAN,MANHATTAN,984824,213090,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.75155934859421,-73.99792829432809,"(40.75155934859421, -73.99792829432809)"
